id	filename	md5	size	state
33c16d35-96da-4400-9f48-1fc7567e30a4	6efebff1-f165-415e-9001-45a782638785.rna_seq.genomic.gdc_realn.bam	7b10d3c5d9aad36b3932567c90cd3fc0	6398888873	released
16b44441-90d4-4289-8248-d31251f49f2b	8b3aec43-4c75-4598-bf0a-168f7ffb9f3b.rna_seq.genomic.gdc_realn.bam	8b33afe3aa7ebbdbe4652f022d691677	4341382674	released
9eeae6b9-2031-47fa-80db-e04d53f0bfbd	39807893-979e-44c6-ada9-444c68b863c3.rna_seq.genomic.gdc_realn.bam	ee112c24ad5a50f73af7e572cba82550	6863302605	released
6d2d8cc2-4e19-4e74-97dc-45e6eeec5e1c	c649e0cf-b787-4d0c-bab6-d81f7e491b15.rna_seq.genomic.gdc_realn.bam	347265ced5df435a746b0237e04cb15b	4934736933	released
0c633b9e-3303-4625-b59d-02102d8bf981	5158a031-b856-4423-9418-031b3107e88f.rna_seq.genomic.gdc_realn.bam	99da114b0ad764ee7630444339bd9594	10904674776	released
b7dfe7a7-b569-4532-bc55-02665f4979e1	21a80f43-21be-4549-901b-c99083021c30.rna_seq.genomic.gdc_realn.bam	8e0fbc8ad105764795e3fd441cf02459	3300918147	released
3498e816-9bf1-41ab-a662-206a78a32e2b	5eef868d-7c7f-42e8-aabf-ce3f75405c7a.rna_seq.genomic.gdc_realn.bam	a4682118be745a998639b11aba040608	8968817000	released
d596b2b1-0915-41c2-b35c-b343f59b8923	da3718fb-d874-4469-a3fe-6ba6fa89676b.rna_seq.genomic.gdc_realn.bam	a8955da825a8052071a7a54085f1fdf2	7892123623	released
8031c488-856a-4e1e-93f1-57e672e34d8d	8fa3359f-1e40-448a-aae8-a955c1ca3323.rna_seq.genomic.gdc_realn.bam	afe15c138f31cbbfc64740806fe9bdf8	4751231143	released
4b9a61f4-5a9a-462a-ba94-7bc718abac56	c8e5ea6c-c6b1-4807-8d9f-b2e96154a1eb.rna_seq.genomic.gdc_realn.bam	67616eb9ba337937c2a8ef441bfec78e	6063669327	released
4a5e9e8a-8c48-48cf-8bf0-eb564611d382	06770623-6a10-4874-9eea-1497077f18ac.rna_seq.genomic.gdc_realn.bam	77c49770825990c2e20e6471e542108e	6177189102	released
61005b7e-d7ad-4573-af9b-d9f33ce3c300	484f0a13-a636-484b-9880-5066955dee6e.rna_seq.genomic.gdc_realn.bam	5b97fb99ec950da30ca2fb40ea005976	4554595084	released
