id	filename	md5	size	state
704d42ab-3e11-4c3b-a74c-b1e6a30e27c5	325c7d6b-292d-46e5-85d1-785ae8a48c33.rna_seq.genomic.gdc_realn.bam	f7bf171f5f876711b0eb25e41b4bc379	10162708783	released
d1945e55-eaa9-41f3-8017-380ccd112dfc	59a0b90e-8b8b-41b8-95f0-d51961a94be5.rna_seq.genomic.gdc_realn.bam	220725d4504d9ed6078833833d01ba59	3340812733	released
44a3eb8c-135f-44f4-82bd-86fb6104a4e8	f3d482bb-14e8-4569-bee4-22d7d2a027ea.rna_seq.genomic.gdc_realn.bam	9dbf54556cd703d314710c04ae1a97db	2808852908	released
216b822e-0d33-476f-ba03-18ff818f8a78	5fd9d2a8-3a95-440c-a0de-8ad5fd86e156.rna_seq.genomic.gdc_realn.bam	adc3eae115705baaff85a90b71023e3c	4036369560	released
ba6057cc-61fd-4d2f-8599-ed0a6aaf80b6	145db6c5-f7ad-4e2f-88f1-d68bc457848a.rna_seq.genomic.gdc_realn.bam	4bd6c5eab907540e9de22a535048ae84	12666889884	released
45600709-c917-42ef-bc2f-229e6f3c71af	9ebc079c-069f-4468-8b9e-680e39a3c4ad.rna_seq.genomic.gdc_realn.bam	9ed1121967a83a12f0f1458036a96b75	9302668352	released
f6284fb5-ab14-41a5-8d4f-63bde0394bfc	1da64d9f-f5dd-4017-bf82-d1a61512b56b.rna_seq.genomic.gdc_realn.bam	5f64cbb11cc28ebb0df52ac4a39a774e	3931825828	released
8459ed46-071c-42f6-ab9d-1a16424c8921	9f4c2cc8-8675-43be-98bb-004c45ba5a51.rna_seq.genomic.gdc_realn.bam	d7cb363865df38c011fbfc31e0796365	6422777561	released
c916f887-6e77-4fc6-a692-30375d28650f	06c83065-5800-451a-84a7-7a7f352493ec.rna_seq.genomic.gdc_realn.bam	20f193c3bd23129bd5a614965eb7785f	10007934960	released
243e1ddf-9b74-42c0-b357-13b302b039f9	d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.genomic.gdc_realn.bam	a73b3770ffff282f7c761b8c2da767d9	3772808404	released
